id,name,has_cargo_toml,has_cargo_lock
MDEwOlJlcG9zaXRvcnkyNjY1,agrover/winamp-midi-control,false,false
MDEwOlJlcG9zaXRvcnkxMjYwNA==,hank/life,false,false
MDEwOlJlcG9zaXRvcnkxODc1OQ==,hisasue/junk,false,false
MDEwOlJlcG9zaXRvcnkyNzUxOA==,legnaleurc/junkcode,false,false
MDEwOlJlcG9zaXRvcnkzNDA5Ng==,leachim6/hello-world,false,false
MDEwOlJlcG9zaXRvcnkzODk3MA==,Mange/dotfiles,false,false
MDEwOlJlcG9zaXRvcnk0Nzk2Nw==,MetroWind/my-configs,false,false
MDEwOlJlcG9zaXRvcnk2ODk0NA==,martinisoft/listbotto,true,true
MDEwOlJlcG9zaXRvcnk3MTgzMg==,giddie/logos-wallpaper-updater,false,false
MDEwOlJlcG9zaXRvcnk3NDg0OQ==,phss/playground,false,false
MDEwOlJlcG9zaXRvcnk4OTYyMA==,offby1/anagrams,false,false
MDEwOlJlcG9zaXRvcnk5ODY2OA==,senorprogrammer/MachSpeedConverter,false,false
MDEwOlJlcG9zaXRvcnkxMDIxMzc=,ariya/ioquake3,false,false
MDEwOlJlcG9zaXRvcnkxMDM1MzI=,stilist/ratafiacurrant,false,false
MDEwOlJlcG9zaXRvcnkxMDcyNTk=,bvdberg/code,false,false
MDEwOlJlcG9zaXRvcnkxMDcyNzY=,Tobbe/losi,false,false
MDEwOlJlcG9zaXRvcnkxMTQ0ODU=,liquidware/antipasto_arduino,false,false
MDEwOlJlcG9zaXRvcnkxMTYwNzA=,gfannes/gubg.deprecated,false,false
MDEwOlJlcG9zaXRvcnkxMjE1NTA=,raptium/coursework,false,false
MDEwOlJlcG9zaXRvcnkxMjg1Njc=,acdha/mountstatus,true,false
MDEwOlJlcG9zaXRvcnkxNDQ4NzM=,sjnewbury/multilib-overlay,false,false
MDEwOlJlcG9zaXRvcnkxNDYyNDY=,zootella/backup,false,false
MDEwOlJlcG9zaXRvcnkxNTA2NjA=,shinh/test,false,false
MDEwOlJlcG9zaXRvcnkxNTE4NDM=,lgastako/polyeuler,false,false
MDEwOlJlcG9zaXRvcnkxNTc5ODU=,factor/factor,false,false
MDEwOlJlcG9zaXRvcnkxNjMzOTk=,fel4/fel4,true,false
MDEwOlJlcG9zaXRvcnkxNzAwMzM=,beoran/eruta,false,false
MDEwOlJlcG9zaXRvcnkxNzA4OTk=,garrett/document-templates,false,false
MDEwOlJlcG9zaXRvcnkxNzIzNzQ=,Yelp/yelp-api,false,false
MDEwOlJlcG9zaXRvcnkxNzIzODM=,opendns/dynamicipupdate,false,false
MDEwOlJlcG9zaXRvcnkxODUwMzY=,ekse/code,false,false
MDEwOlJlcG9zaXRvcnkyMjQyODc=,davidphilipbarr/Ecru-Meta-Theme,false,false
MDEwOlJlcG9zaXRvcnkyMjg4NDY=,skolima/NAnt,false,false
MDEwOlJlcG9zaXRvcnkyMzgwNTM=,d3zd3z/euler,false,false
MDEwOlJlcG9zaXRvcnkyNDg2MTA=,plumenator/code,false,false
MDEwOlJlcG9zaXRvcnkyNTE3MTU=,s9gf4ult/projs,false,false
MDEwOlJlcG9zaXRvcnkyNTQ0OTc=,leod/configs,false,false
MDEwOlJlcG9zaXRvcnkyNjIyMjY=,wwood/bbbin,true,false
MDEwOlJlcG9zaXRvcnkyNzEzMjQ=,artagnon/sandbox,false,false
MDEwOlJlcG9zaXRvcnkyNzEzNDY=,dterei/Scraps,false,false
MDEwOlJlcG9zaXRvcnkyNzY4ODk=,albins/emacs-files,false,false
MDEwOlJlcG9zaXRvcnkyNzg2MjI=,AaronBecker/daydreamer,true,true
MDEwOlJlcG9zaXRvcnkyOTI4MTg=,diegopacheco/Diego-Pacheco-Sandbox,false,false
MDEwOlJlcG9zaXRvcnkyOTYyODk=,hyz/dotfiles,false,false
MDEwOlJlcG9zaXRvcnkyOTg2MDQ=,dirvine/wwww,true,false
MDEwOlJlcG9zaXRvcnkyOTg2ODQ=,mkoloberdin/unrealspeccy,false,false
MDEwOlJlcG9zaXRvcnkzMTAyOTY=,kornelski/pngquant,true,false
MDEwOlJlcG9zaXRvcnkzMTA2MTE=,apache/thrift,false,false
MDEwOlJlcG9zaXRvcnkzMTgwODY=,shinh/ags,false,false
MDEwOlJlcG9zaXRvcnkzMjg5NDg=,Djuffin/project-euler,false,false
MDEwOlJlcG9zaXRvcnkzMzA3MjA=,matssigge/JASE,false,false
MDEwOlJlcG9zaXRvcnkzMzYyODc=,psinnott/gntp-plugin,false,false
MDEwOlJlcG9zaXRvcnkzNDA0NjY=,batas2/UMK,false,false
MDEwOlJlcG9zaXRvcnkzNTQ4NTQ=,epage/Gonvert,false,false
MDEwOlJlcG9zaXRvcnkzNjc2MzM=,kschiess/hens_and_eggs,false,false
MDEwOlJlcG9zaXRvcnkzNjc5OTg=,jodal/projecteuler,false,false
MDEwOlJlcG9zaXRvcnkzNzI5NDU=,baoilleach/openbabel-svn-mirror,false,false
MDEwOlJlcG9zaXRvcnkzNzg3Mjc=,browserplus/platform,false,false
MDEwOlJlcG9zaXRvcnkzODE3MzA=,wk23/tst,false,false
MDEwOlJlcG9zaXRvcnkzODI1NTU=,LDiracDelta/vlc_censor_plugin,false,false
